,Unnamed: 0,Substance Name,Substance ID,Published Report Count inc cellar,ID List URL,Data XML Blob,Alternate/Other Names,Equiv (Child) Substance IDs
274,275, Cannabis                                      ,1,2928," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=1&amp;max=2929"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=1&amp;format=xml"">Experience Data</a>   ", Cannabis sativa; Cannabis indica; Marijuana                                                                                             ," 598, 93, 597                                                                                                                                                 "
540,541, MDMA                                          ,3,2664," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=3&amp;max=2665"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=3&amp;format=xml"">Experience Data</a>   ", Ecstasy; Molly; Adam; E; X                                                                                                              ,                                                                                                                                                              
527,528, LSD                                           ,2,2554," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=2&amp;max=2555"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=2&amp;format=xml"">Experience Data</a>   ", Acid; Doses; Trips                                                                                                                      ,                                                                                                                                                              
850,851, Salvia divinorum                              ,44,2428," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=44&amp;max=2429"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=44&amp;format=xml"">Experience Data</a>  ", Salvia                                                                                                                                  ,                                                                                                                                                              
605,606, Mushrooms                                     ,39,2170," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=39&amp;max=2171"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=39&amp;format=xml"">Experience Data</a>  ", Magic Mushrooms; Psilocybin-containing Fungi                                                                                            ," 856, 844, 185, 133, 127, 123, 118, 90, 67, 66, 193, 246                                                                                                      "
358,359, DMT                                           ,18,1144," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=18&amp;max=1145"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=18&amp;format=xml"">Experience Data</a>  "," N,N-DMT                                                                                                                                 ",                                                                                                                                                              
375,376, DXM                                           ,22,961," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=22&amp;max=962"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=22&amp;format=xml"">Experience Data</a>  ", dextromethorphan; Robitussin; Drixoral                                                                                                  ,                                                                                                                                                              
491,492, Ketamine                                      ,31,800," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=31&amp;max=801"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=31&amp;format=xml"">Experience Data</a>  ", Ketalar; Ketaset; Special K; K                                                                                                          , 797                                                                                                                                                          
310,311, Cocaine                                       ,13,794," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=13&amp;max=795"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=13&amp;format=xml"">Experience Data</a>  ",                                                                                                                                         , 82                                                                                                                                                           
609,610, Mushrooms - P. cubensis                       ,66,792," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=66&amp;max=793"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=66&amp;format=xml"">Experience Data</a>  ", Psilocybe cubensis                                                                                                                      ,                                                                                                                                                              
195,196, Amphetamines                                  ,6,673," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=6&amp;max=674"">Experience List</a>   "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=6&amp;format=xml"">Experience Data</a>   ", Speed; Adderall; Dexedrine                                                                                                              ,                                                                                                                                                              
594,595, Morning Glory                                 ,38,667," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=38&amp;max=668"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=38&amp;format=xml"">Experience Data</a>  ", Ipomoea violacea; tlilitzin; badoh negro (seeds)                                                                                        ,                                                                                                                                                              
561,562, Methamphetamine                               ,37,643," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=37&amp;max=644"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=37&amp;format=xml"">Experience Data</a>  ", Meth; Crystal Meth; Ice; Crank; Desoxyn                                                                                                 ,                                                                                                                                                              
