Substance Name,Substance ID,Published Report Count inc cellar,ID List URL,Data XML Blob,Alternate/Other Names,Equiv (Child) Substance IDs
 Cannabis                                      ,1,2928," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=1&amp;max=2929"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=1&amp;format=xml"">Experience Data</a>   ", Cannabis sativa; Cannabis indica; Marijuana                                                                                             ," 598, 93, 597                                                                                                                                                 "
 MDMA                                          ,3,2664," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=3&amp;max=2665"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=3&amp;format=xml"">Experience Data</a>   ", Ecstasy; Molly; Adam; E; X                                                                                                              ,                                                                                                                                                              
 LSD                                           ,2,2554," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=2&amp;max=2555"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=2&amp;format=xml"">Experience Data</a>   ", Acid; Doses; Trips                                                                                                                      ,                                                                                                                                                              
 Salvia divinorum                              ,44,2428," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=44&amp;max=2429"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=44&amp;format=xml"">Experience Data</a>  ", Salvia                                                                                                                                  ,                                                                                                                                                              
 Mushrooms                                     ,39,2170," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=39&amp;max=2171"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=39&amp;format=xml"">Experience Data</a>  ", Magic Mushrooms; Psilocybin-containing Fungi                                                                                            ," 856, 844, 185, 133, 127, 123, 118, 90, 67, 66, 193, 246                                                                                                      "
 DMT                                           ,18,1144," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=18&amp;max=1145"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=18&amp;format=xml"">Experience Data</a>  "," N,N-DMT                                                                                                                                 ",                                                                                                                                                              
 DXM                                           ,22,961," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=22&amp;max=962"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=22&amp;format=xml"">Experience Data</a>  ", dextromethorphan; Robitussin; Drixoral                                                                                                  ,                                                                                                                                                              
 Ketamine                                      ,31,800," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=31&amp;max=801"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=31&amp;format=xml"">Experience Data</a>  ", Ketalar; Ketaset; Special K; K                                                                                                          , 797                                                                                                                                                          
 Cocaine                                       ,13,794," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=13&amp;max=795"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=13&amp;format=xml"">Experience Data</a>  ",                                                                                                                                         , 82                                                                                                                                                           
 Mushrooms - P. cubensis                       ,66,792," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=66&amp;max=793"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=66&amp;format=xml"">Experience Data</a>  ", Psilocybe cubensis                                                                                                                      ,                                                                                                                                                              
