table,substance,count,mean,std,min,25%,50%,75%,max
First Time,Total,2059.0,1176.9932005828073,1166.414618873525,10.0,563.0,916.0,1455.5,24241.0
First Time,Cannabis,229.0,1021.3711790393012,819.7266057125861,103.0,504.0,832.0,1191.0,5445.0
First Time,LSD,349.0,1561.7908309455588,1703.9998210183678,64.0,722.0,1159.0,1896.0,24241.0
First Time,MDMA,401.0,967.7880299251872,723.7421933647086,10.0,493.0,816.0,1171.0,7414.0
First Time,Ketamine,113.0,894.8761061946902,493.26767821378405,202.0,516.0,806.0,1152.0,2835.0
First Time,Psilocybin/Mushrooms,551.0,1291.0254083484574,1300.178693763622,113.0,632.0,1026.0,1584.5,22700.0
First Time,DMT,279.0,1024.078853046595,693.0157126158776,124.0,529.5,796.0,1312.5,4711.0
First Time,Mescaline/Cacti/Children,137.0,1154.6934306569342,1324.8953041991203,158.0,539.0,894.0,1423.0,14167.0
Bad Trip,Total,568.0,1193.1355633802816,1091.462041132855,14.0,588.5,916.5,1516.25,17198.0
Bad Trip,Cannabis,136.0,1050.389705882353,666.4809204881469,65.0,596.5,941.5,1276.0,4089.0
Bad Trip,LSD,160.0,1488.98125,1663.8876597596109,78.0,656.75,1060.5,1759.0,17198.0
Bad Trip,MDMA,28.0,783.8928571428571,608.4197101103757,121.0,424.25,567.0,828.0,2522.0
Bad Trip,Ketamine,14.0,645.5714285714286,293.2905396690126,206.0,397.25,660.5,839.75,1212.0
Bad Trip,Psilocybin/Mushrooms,195.0,1176.9589743589745,751.6328674162579,178.0,627.5,941.0,1581.0,4757.0
Bad Trip,DMT,33.0,995.939393939394,875.4762253837172,14.0,438.0,794.0,1207.0,4686.0
Bad Trip,Mescaline/Cacti/Children,2.0,1625.5,1639.7806255716037,466.0,1045.75,1625.5,2205.25,2785.0
General,Total,2967.0,1078.453319851702,1152.219777855651,1.0,465.0,794.0,1351.5,24241.0
General,Cannabis,443.0,842.9097065462754,689.5195592569347,71.0,418.5,650.0,1087.5,6449.0
General,LSD,541.0,1425.7264325323474,1694.055611221526,5.0,573.0,1012.0,1755.0,24241.0
General,MDMA,354.0,827.0056497175141,772.99089848876,40.0,332.0,630.0,1033.0,7018.0
General,Ketamine,207.0,838.7101449275362,589.0442341207914,144.0,449.0,704.0,1100.5,4922.0
General,Psilocybin/Mushrooms,874.0,1191.8455377574371,1224.6186456208677,27.0,521.25,920.5,1530.0,22700.0
General,DMT,360.0,909.4111111111112,674.4183900063123,1.0,465.0,694.0,1172.5,4450.0
General,Mescaline/Cacti/Children,188.0,1168.1382978723404,1214.4157117224606,128.0,478.0,846.0,1465.75,11193.0
