trip_type,substance,rating,pure,url
bad,Cannabis,C,True,https://github.jonathanferrari.com/scraper/narratives/txt/2903.txt
bad,Cannabis,C,True,https://github.jonathanferrari.com/scraper/narratives/txt/4141.txt
bad,Cannabis,D,True,https://github.jonathanferrari.com/scraper/narratives/txt/4289.txt
bad,Cannabis,C-,True,https://github.jonathanferrari.com/scraper/narratives/txt/5887.txt
bad,Cannabis,C+,True,https://github.jonathanferrari.com/scraper/narratives/txt/6426.txt
bad,Cannabis,C,True,https://github.jonathanferrari.com/scraper/narratives/txt/6476.txt
bad,Cannabis,B,True,https://github.jonathanferrari.com/scraper/narratives/txt/6577.txt
bad,Cannabis,C,True,https://github.jonathanferrari.com/scraper/narratives/txt/6642.txt
bad,Cannabis,C,True,https://github.jonathanferrari.com/scraper/narratives/txt/6727.txt
bad,Cannabis,D,True,https://github.jonathanferrari.com/scraper/narratives/txt/7407.txt
bad,Cannabis,C,True,https://github.jonathanferrari.com/scraper/narratives/txt/7495.txt
bad,Cannabis,C,True,https://github.jonathanferrari.com/scraper/narratives/txt/7660.txt
bad,Cannabis,B,True,https://github.jonathanferrari.com/scraper/narratives/txt/7873.txt
bad,Cannabis,C-,False,https://github.jonathanferrari.com/scraper/narratives/txt/8374.txt
bad,Cannabis,C-,False,https://github.jonathanferrari.com/scraper/narratives/txt/9124.txt
bad,Cannabis,C,True,https://github.jonathanferrari.com/scraper/narratives/txt/9132.txt
bad,Cannabis,C,True,https://github.jonathanferrari.com/scraper/narratives/txt/9641.txt
bad,Cannabis,C,True,https://github.jonathanferrari.com/scraper/narratives/txt/10187.txt
bad,Cannabis,C+,False,https://github.jonathanferrari.com/scraper/narratives/txt/11242.txt
bad,Cannabis,B,False,https://github.jonathanferrari.com/scraper/narratives/txt/11244.txt
bad,Cannabis,C+,True,https://github.jonathanferrari.com/scraper/narratives/txt/11402.txt
bad,Cannabis,C,True,https://github.jonathanferrari.com/scraper/narratives/txt/11645.txt
bad,Cannabis,C,False,https://github.jonathanferrari.com/scraper/narratives/txt/12260.txt
bad,Cannabis,C,True,https://github.jonathanferrari.com/scraper/narratives/txt/13483.txt
bad,Cannabis,C,True,https://github.jonathanferrari.com/scraper/narratives/txt/14979.txt
bad,Cannabis,C,False,https://github.jonathanferrari.com/scraper/narratives/txt/15113.txt
bad,Cannabis,C,True,https://github.jonathanferrari.com/scraper/narratives/txt/15183.txt
bad,Cannabis,C-,True,https://github.jonathanferrari.com/scraper/narratives/txt/15798.txt
bad,Cannabis,C+,True,https://github.jonathanferrari.com/scraper/narratives/txt/16620.txt
bad,Cannabis,C,False,https://github.jonathanferrari.com/scraper/narratives/txt/16877.txt
bad,Cannabis,C,False,https://github.jonathanferrari.com/scraper/narratives/txt/17100.txt
bad,Cannabis,D,True,https://github.jonathanferrari.com/scraper/narratives/txt/17490.txt
bad,Cannabis,C+,True,https://github.jonathanferrari.com/scraper/narratives/txt/17826.txt
bad,Cannabis,B,False,https://github.jonathanferrari.com/scraper/narratives/txt/19046.txt
bad,Cannabis,C,True,https://github.jonathanferrari.com/scraper/narratives/txt/19116.txt
bad,Cannabis,A,False,https://github.jonathanferrari.com/scraper/narratives/txt/19472.txt
bad,Cannabis,B,False,https://github.jonathanferrari.com/scraper/narratives/txt/19781.txt
bad,Cannabis,C+,True,https://github.jonathanferrari.com/scraper/narratives/txt/19983.txt
bad,Cannabis,C-,True,https://github.jonathanferrari.com/scraper/narratives/txt/20390.txt
bad,Cannabis,C+,False,https://github.jonathanferrari.com/scraper/narratives/txt/20631.txt
bad,Cannabis,C+,False,https://github.jonathanferrari.com/scraper/narratives/txt/21935.txt
bad,Cannabis,C-,True,https://github.jonathanferrari.com/scraper/narratives/txt/22220.txt
