id,trip_type,substance,substance_name,substance_id,date,rating,category_id,list_number,intensity,category-id-list,experience-year,gender,author,title
2903,bad,Cannabis,Cannabis,1,2000 Sep 1,C,6,81,4,"[6, 8, 17, 27, 29]",2000,M,Jon,Bad Experience
4141,bad,Cannabis,Cannabis,1,2000 Dec 1,C,6,129,4,"[6, 17]",2000,M,Chris,Horrible Fun
4289,bad,Cannabis,Cannabis,1,2000 Dec 1,D,6,134,3,"[6, 15, 38]",2000,M,Anonymous,"One Month, Two Bad Trips"
5887,bad,Cannabis,Cannabis,1,2001 Mar 1,C-,6,182,3,"[6, 17, 29]",2000,F,Zorenga,Bad Times
6426,bad,Cannabis,Cannabis,1,2001 Apr 1,C+,6,200,5,"[5, 6, 8, 15, 16, 26, 27, 41]",1998,M,Good boy,I Hate What Weed Has Done
6476,bad,Cannabis,Cannabis,1,2001 Apr 1,C,6,203,3,"[5, 6, 7, 27, 28]",2001,M,Sickle,Couldn't Breathe On My First Bad Trip
6577,bad,Cannabis,Cannabis,1,2001 Apr 1,B,6,207,5,"[5, 6, 8, 17]",2001,F,Luna,Psychosis
6642,bad,Cannabis,Cannabis (oral),1,2001 May 1,C,6,212,4,"[6, 17, 27]",2001,N,Raoul Duke,The Nightmare Began
6727,bad,Cannabis,Cannabis,1,2001 May 1,C,6,218,4,"[5, 6, 17]",2000,M,Don,Bad Trips Are Possible
7407,bad,Cannabis,Cannabis,1,2001 Jun 1,D,5,247,4,"[5, 6, 17]",2000,M,M.,"My First Hotbox, My First Bad Trip"
7495,bad,Cannabis,Cannabis,1,2001 Jun 1,C,6,252,5,"[6, 17]",2001,M,friedrice,Can't Blame the Drugs This Time
7660,bad,Cannabis,Cannabis,1,2001 Jun 1,C,6,262,5,"[6, 8, 17]",2000,M,bad tripper,I Felt Very Scared
7873,bad,Cannabis,Cannabis,1,2001 Jul 1,B,6,274,5,"[5, 6, 17]",2001,M,EarlyMan,Too Far Inside
8374,bad,Cannabis,Cannabis,1,2001 Jul 1,C-,2,299,4,"[2, 5, 6, 15, 17, 27, 46]",2001,M,Mike,Very Scary Panic
9124,bad,Cannabis,Cannabis,1,2001 Aug 1,C-,6,333,5,"[2, 6, 10, 17]",2000,M,r00teD,Weed Changed My Life
9132,bad,Cannabis,Cannabis,1,2001 Aug 1,C,6,334,4,"[6, 17]",2001,M,chris,So This Is What Death Feels Like
9641,bad,Cannabis,Cannabis,1,2001 Sep 1,C,6,365,3,"[6, 17]",1996,F,Samanthe,Clear Communication over the Toilet Bowl
10187,bad,Cannabis,Cannabis,1,2001 Oct 1,C,6,389,5,"[5, 6, 17, 29, 37]",2001,M,SoftWin,Never Had Anything Like This Before
11242,bad,Cannabis,Cannabis - Hash,93,2001 Dec 1,C+,6,432,3,"[2, 6, 28, 29]",1988,F,Samanthe,First High: Massive Overdose at 17
11244,bad,Cannabis,Cannabis - Hash,93,2001 Dec 1,B,6,433,5,"[1, 6, 8, 17]",2001,F,Samanthe,Terror Blossom
11402,bad,Cannabis,Cannabis,1,2001 Dec 1,C+,6,447,4,"[5, 6, 16, 46]",2001,M,Blindcap,The Mind Destroyed
11645,bad,Cannabis,Cannabis - Hash,93,2002 Jan 1,C,6,464,5,"[5, 6, 8, 17, 45, 46]",2001,M,mitch,Infinite Terror
12260,bad,Cannabis,Cannabis,1,2002 Jan 1,C,5,500,4,"[1, 5, 6, 8, 20, 27]",2001,M,Metosblat,My Head Undergoes a Supernova
13483,bad,Cannabis,Cannabis,1,2002 Mar 1,C,6,555,4,"[6, 8, 17]",2001,M,Idorchid,It's Not Just Me
14979,bad,Cannabis,Cannabis,1,2002 May 1,C,6,601,5,"[6, 13, 16, 29]",2002,M,george,Ate Too Much Brownies and Had a Bad Trip
15113,bad,Cannabis,Cannabis,1,2002 Jun 1,C,6,603,3,"[2, 6, 16]",2002,M,glitch,Dizzy
15183,bad,Cannabis,Cannabis,1,2002 Jun 1,C,5,609,5,"[5, 6, 17]",2000,M,loserClint,Heart Racing Way Too Fast
15798,bad,Cannabis,Cannabis,1,2002 Jul 1,C-,6,623,3,"[6, 17, 26]",2001,N,stoner,Know Your Source
16620,bad,Cannabis,Cannabis,1,2002 Aug 1,C+,6,642,5,"[6, 17, 29]",1987,F,Kate Jones,Panic and Mean Friends
16877,bad,Cannabis,Cannabis,1,2002 Aug 1,C,6,652,4,"[1, 6, 17]",2001,M,spliffguru,Realized Uneasiness
17100,bad,Cannabis,Cannabis,1,2002 Aug 1,C,6,656,5,"[2, 6, 17, 27, 29, 39, 46]",2002,M,TastyArmageddon,A Lightweight's First Time
17490,bad,Cannabis,Cannabis,1,2002 Sep 1,D,6,664,5,"[5, 6, 17, 26, 27, 40, 46]",2002,M,Brooklyn,Why I Don't Smoke Marijuana Anymore
17826,bad,Cannabis,Cannabis,1,2002 Sep 1,C+,6,671,5,"[5, 6, 16, 29]",2002,M,GBhippy,And The Roar Began
19046,bad,Cannabis,Cannabis,1,2002 Nov 1,B,5,696,3,"[2, 5, 6, 8, 11, 13, 28, 46]",1994,M,Unfortunate,Hell Falling
19116,bad,Cannabis,Cannabis,1,2002 Nov 1,C,5,698,5,"[5, 6, 8, 28]",2000,F,Midnight Rider,Home and Scared Alone
19472,bad,Cannabis,Cannabis,1,2002 Dec 1,A,2,712,3,"[2, 5, 6, 9, 17]",2002,M,Jack London,Images Outside Dreams
19781,bad,Cannabis,Cannabis,1,2002 Dec 1,B,6,723,5,"[1, 6, 16, 27]",2002,M,freakedout,Panic Attack
19983,bad,Cannabis,Cannabis,1,2002 Dec 1,C+,27,728,3,"[5, 6, 8, 17, 27]",2002,M,Juicemonkey,Can't Blame It
20390,bad,Cannabis,Cannabis,1,2003 Jan 1,C-,5,736,4,"[5, 6, 16]",2001,M,College kid,Trying to See How High I Could Get
20631,bad,Cannabis,Cannabis,1,2003 Jan 1,C+,6,742,4,"[2, 5, 6, 17]",2001,F,lemonhead,Like a Compass with a Broken Needle
21935,bad,Cannabis,Cannabis,1,2003 Mar 1,C+,6,783,4,"[1, 5, 6, 17, 22]",1999,M,Koyaanisqatsi,My Friends Became Demons
22220,bad,Cannabis,Cannabis - Hash,93,2003 Mar 1,C-,6,792,5,"[6, 17]",2003,N,The BoUnZeR,Bong Bad Trip
22728,bad,Cannabis,Cannabis,1,2003 Apr 1,C,6,802,3,"[6, 28, 39]",2003,F,Aimey,Completely Removed from Everything
